Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY
Date,,,,,,,,,,
2022-07-01,276.6513977050781,365.3890380859375,277.0436242269678,365.8299335596362,271.65042725732985,358.2583713010832,273.5331564573519,360.903627148324,56675100,74839700
2022-07-05,281.3876037597656,366.0790100097656,281.5052687287289,366.0981971768638,271.3758769842515,357.3957054460965,272.9055814307074,360.25181471434047,61829300,81438000
2022-07-06,283.19183349609375,367.3154296875,285.3001069781418,369.82649200256554,280.04417627970207,363.8171933497468,281.7700087366469,366.2228139785871,63194700,70426200
2022-07-07,289.2518615722656,372.8167419433594,289.9578812538241,373.6218132968614,284.00574601450126,367.33456432297976,284.00574601450126,369.1076517170087,56620100,64525900
2022-07-08,289.6146545410156,372.5101013183594,290.98746219400664,374.3981948912325,285.46678541897893,369.62524011470316,286.40813496317816,371.16828636399435,59895500,72397800
2022-07-11,283.4272155761719,368.2546691894531,287.4181585586776,370.7848892528974,282.54469842776655,367.5550102700865,287.1926440210091,369.8073088815922,55273900,58366900
2022-07-12,280.6815185546875,364.99603271484375,286.60423665247606,370.1044410878439,279.0831666074814,363.23253880097235,284.68230611609266,367.6987912208926,55797100,62219200
2022-07-13,280.1029968261719,363.0791931152344,282.45638557860923,366.0407444632135,274.58232021662417,359.08258755604106,275.15107403614815,359.5042958079142,73939400,84224600
2022-07-14,281.1032409667969,362.19744873046875,281.97594272099224,363.29003516583515,274.3666226216611,355.61309086715886,277.4946792127539,358.0762144511907,63741800,89704800
2022-07-15,286.2022399902344,369.11724853515625,286.3101194869599,369.23225455113095,282.48582873424607,364.7180929317278,284.1038117103778,366.64450219676957,63818100,79060400
2022-07-18,283.78021240234375,366.0694885253906,290.4089513366547,372.9126100212118,282.6035328380942,364.8331153007788,288.99691191958294,372.23213823037185,59519600,63203600
2022-07-19,292.50738525390625,375.96038818359375,292.8015775942937,376.53544754043486,285.8100282464387,369.3664658711822,287.4181659923528,370.0277504955055,55172600,78506000
2022-07-20,297.14556884765625,378.3564758300781,298.33206391635684,379.78454538022606,292.14459791784606,374.77198469828636,292.92908096221004,376.15211556962856,67769400,71843800
2022-07-21,301.41107177734375,382.2093200683594,301.46990425880807,382.257229494255,294.9392294915839,375.3470114027863,297.6064117095046,377.7718191775275,55049400,64903900
2022-07-22,296.12567138671875,378.66314697265625,302.5582808908489,383.5415140516764,294.29198955131335,376.4204418031425,300.4794537849356,382.33392157500526,57127700,72197300
2022-07-25,294.4390563964844,379.12322998046875,296.62576287595994,379.98580445952473,292.4288772461513,376.8613374644863,296.1550732065106,379.2957390265327,40582400,53631500
2022-07-26,288.6537780761719,374.6378173828125,292.98796157389904,377.67600059061294,287.83990857924306,373.7368978151953,292.7330008019818,377.46514645247413,50074100,52946400
2022-07-27,300.8520812988281,384.3657531738281,302.5484973545248,386.1292469978394,292.66422322676243,377.6663602609532,293.23297701593793,377.9634688849113,69304400,82342100
2022-07-28,303.7939147949219,389.1866455078125,304.3724542178421,389.88627523863425,296.8710126495121,381.5959261670075,300.63644155587053,385.1804463342901,55139900,73966600
2022-07-29,309.3341979980469,394.8605041503906,310.24616143693,395.8572718100489,303.9115840892794,389.8575371790331,305.34325446969103,390.6338571186631,57501000,87003700
2022-08-01,309.1478271484375,393.6912536621094,312.6190930090838,396.2215034477019,306.4610442103754,391.4197967061155,307.5592903770296,392.13861367946737,46358800,69997500
2022-08-02,308.2260437011719,391.0938720703125,312.36409713621185,395.82848142777334,305.7844063404948,389.90543756315043,306.8434506854595,392.10979755199605,48676500,63435400
2022-08-03,316.6198425292969,397.21820068359375,317.44352705394124,398.3970415915023,309.85380906800367,392.9532090324076,309.9126415394097,393.24072407123106,53735700,67820600
2022-08-04,318.1004943847656,396.9498596191406,318.4142875104006,397.8315919396826,314.54098029855317,395.29177816491114,316.6982706310939,397.14152656986414,38973700,45656600
2022-08-05,315.50201416015625,396.27899169921875,317.5416099736011,396.93071204440923,312.2072755557535,392.5699009347322,312.99172857824044,392.62740395055863,53894000,56814900
2022-08-08,314.48223876953125,395.81890869140625,320.1303969644462,400.25640965580175,313.0113667333528,394.70713505409947,316.4238006302753,397.9849529544983,43878500,53886100
2022-08-09,310.92266845703125,394.2471008300781,312.8348137345944,395.5888864789882,309.2949300265989,393.16407872636495,312.5798530509292,395.08092372444605,39764200,44931800
2022-08-10,319.600830078125,402.52783203125,319.89502239931096,402.67161879652656,315.8059855420415,399.393801175646,318.28685483339353,401.36814906614615,51459600,68665700
2022-08-11,317.7867736816406,402.52783203125,323.9448230320666,407.28162840236473,317.0807539505423,401.7802636964852,321.9346433424639,405.4030993570733,45897700,59489700
2022-08-12,323.9742431640625,409.3422546386719,324.17034145279615,409.44766707403227,318.7869601388895,403.52462305763476,319.84597468795033,404.48304555538454,40928400,61694500
2022-08-15,326.5923767089844,411.0290222167969,327.092482704064,411.5561720934637,323.0034458750988,407.0515750504931,323.02307665135373,407.109078055405,38266600,54048300
2022-08-16,325.8274841308594,411.83416748046875,327.9259420322232,413.77976402109744,322.7680759110797,409.1314089613489,325.6117550935693,409.9460739509929,41186900,59289000
2022-08-17,322.111083984375,408.9109802246094,324.99399488416344,411.6424903760368,320.02244140136895,406.88872265819697,322.6798377945161,408.20175688832984,47842200,63563400
2022-08-18,322.8858337402344,410.09942626953125,324.0723288241745,410.7894624053944,320.4441956941589,407.8087824065159,322.0621489767989,409.1122229947918,41937200,49023200
2022-08-19,316.5904541015625,404.5885009765625,320.4931783246302,407.5787745912739,315.8256019088469,403.70673937925136,319.8362056324718,407.31041745274166,51770600,68016900
2022-08-22,308.2554931640625,396.1639404296875,312.5504436289012,399.88262435508824,307.4416239310965,395.25342736851303,312.3151137157473,399.71008607857465,51098900,77695600
2022-08-23,308.0006408691406,395.2055358886719,310.84432110243364,398.14790007393015,307.2455739971311,394.6496344422712,308.0202417252426,395.7326565804026,39497100,49105200
2022-08-24,308.8929138183594,396.4706726074219,310.7167806070086,397.8507741826976,306.9121205113719,394.28547034419364,307.5200761075883,394.9755065074639,38057100,49177800
2022-08-25,314.3547058105469,402.06787109375,314.3743365863911,402.11578052387506,309.6283272013706,396.87320777354415,310.67752633532774,397.97538790504706,38098300,50942300
2022-08-26,301.4698791503906,388.458251953125,315.2666634790199,402.49913684230063,301.3816304355441,388.40074893846173,314.0605378595255,401.95285820299955,69047700,103087000
2022-08-29,298.4987487792969,385.8896789550781,301.25417976126994,388.9662071746011,297.39068715327875,384.5191417177305,298.70466246754984,385.477564275104,48321900,65370800
2022-08-30,295.1745300292969,381.65338134765625,300.77366999923163,387.29850340637034,292.6446438033167,379.53527600203705,300.1558990803978,387.0588978028337,51184500,85652400
2022-08-31,293.4585266113281,378.7493896484375,298.9890189746007,384.5574275530069,293.35067704270034,378.6152257102167,298.0868710985127,383.30189644071856,50044000,76029700
2022-09-01,293.5859680175781,379.9378662109375,293.9585936142589,380.2828842768954,287.26123803562473,373.8231258863221,290.9580179172475,376.55463590342487,57990700,78740100
2022-09-02,289.4382019042969,375.931640625,297.8515764778207,384.86414554867446,287.820218783456,374.1010500983495,296.4689532231745,383.63736589060966,64666800,99632100
2022-09-06,287.3593444824219,374.51324462890625,290.8404261309904,377.73353069828687,285.22168438215414,372.27053913442944,289.91867729418374,376.7847016329762,57005400,76637400
2022-09-07,293.16436767578125,381.24127197265625,294.1645497442444,382.0175917988936,287.57504276828,373.97644284295035,287.83981884887606,374.19686128204785,49260400,70964200
2022-09-08,294.6842346191406,383.7332763671875,296.0080251485206,384.19330053327843,289.71271096207795,377.7335410453475,291.0855185786728,378.9507565651873,55649800,80821700
